PID,Social Media Post,Normalized Claim
1579,"WATCH: Aktor na si Pen Medina, hindi naniniwalang epektibo ang paggamit ng face mask kontra COVID-19. Sinusuportahan din niya ang hindi sapilitang pagbabakuna. | via 
 @dzbbsamnielsen",The virus which causes the coronavirus disease 2019 (COVID-19) has not yet been identified.
1580,"It is anticipated that the opening of the new [visa application centre] will serve to benefit some of the biggest IT firms in India, including Infosys","Infosys, the company owned by Rishi Sunak’s in-laws is an IT and digital solution company registered in Rwanda. The UK outsources many of its immigration processes to the company."
1581,There was not a party and the Covid rules were followed at all times,The police don't normally look back and investigate things that have taken place a year ago.
1582,"If you use sauna one day a week, your risk of dying of all things goes down like 30 to 40%, maybe even more. But interestingly, if you use sauna three times a week, your risk goes down another 30 or 40%","Using saunas once a week reduces risk of death from any cause by 30 to 40%, maybe even more. Use of saunas three times a week reduces this a further 30 to 40%."
1583,"Norway spends about $30,000 per child on early childhood care. Finland spends $23,000. Germany, $18,000.
 
 The U.S. spends $500 per child.
 
 In other words, 1/60th of what Norway spends on its toddlers.
 
 How do we expect to build a better future if we refuse to invest in our kids?","“Norway spends about $30,000 per child on early childhood care, Finland spends $23,000, Germany $18,000” and the U.S. $500."
1584,Being a Christian Vai ko cant comment on another Religion. It is fermenting communal hatred. He can be tried in Court for only this aspect.,"Vaiko has converted with his family -Mohan C Lazarus

Christian Vaiko should not comment on other religions."
1585,"NO VACCINE HAS BEEN TESTED TO SEE IF IT CAUSES CANCER YET VACCINES CONTAIN INGREDIENTS KNOWN TO CAUSE
CANCER",No vaccine has been tested to see if it causes cancer.
1586,"For hospitalisation, with both the AstraZeneca and Pfizer vaccines, protection is ~80% after one dose and ~95% after the second dose",About 80-90% of those hospitalised with Covid-19 are unvaccinated.
1587,"Isn't it weird how the Left keeps calling Trump a 'Nazi,' when the only person on today's political scene who actually COLLABORATED WITH REAL LIVE NAZIS is the Left's Sugar Daddy, billionaire George Soros?",The claim: George Soros collaborated with the Nazis
1588,"Madam, why are you stopping the police and the military..are you sure that without them the Filipinos will not be stubborn..what do you want? if the police and the military are removed, are you sure that we can fight the covid19.. how is that? Well, we know that there are many Filipinos who don't follow the government..you work for the government, you don't want to follow, what if the ordinary people who criticize and are stubborn. Phil health's money, at least it can add more help to the people who need help now.","Senator Risa Hontiveros said ridding the streets of police and military, instead of providing financial assistance to the public, is the right response to the coronavirus disease or COVID-19 pandemic"
1589,"2006 Article: Ms Bishop has said she will consider using a report by the Menzies Research Centre, by the Bennelong Society president Gary Johns, to frame policy. The report also urges governments to close schools in remote communities if they are not economically viable",AAP Factcheck examined a posted article by Welcome to Country claiming former Foreign Minister and Liberal Party deputy leader Julie Bishop stating: “Aboriginal children should not be taught their culture in schools”.
1590,"There are no humans on what they call the ""International Space Station""
 .
 .
 .
 .
 #unbearablesmedia #unauthorizedtv #owenbenjamin #iss #internationalspacestation",There aren't any humans on the International Space Station
1591,"Mass vaccination for COVID-19 in Senegal
was started yesterday (4/8) and the first 7 CHILDREN who received it DIED on the spot.",“Mass vaccination for COVID-19 in Senegal was started yesterday (4/8) and the first 7 CHILDREN who received it DIED on the spot.”
1592,The survival rate from Covid for the 70 - 74 age group is 99.98. Has anyone told Stevie?,you can skip vaccine since Covid has a high survival rate
1593,"Almost ZERO ballots rejected in Georgia this election. In years past, close to 4%. Not possible. Must have signature check on envelopes now. Very easy to do. Dems fighting because they got caught. Far more votes than needed for flip. Republicans must get tough! 
 @BrianKempGA",Georgia has no signature verification for mail-in ballots
1594,Oh God! Can someone please save this girl? Please help her. It is disgusting.,Watch what happens to a Hindu girl after love jihad
1595,"Hanumanji in America -- This statue belongs to the ancient American deity ""Monkey God"". It is now in the Denver Art Museum in Colorado. The only religion that existed in the entire world was Sanatan Hindu Dharma. What more mature evidence can be given than this?",Image showing statue of an ancient American God known as ‘Monkey God’
1596,Another is the fact that last year across Europe and Asia we had a long cold winter so stores of gas have been lower than usual,We have had a colder than usual winter.
1597,Ni Azimio la MMOJA wala sio Azimio la Umoja,Image claiming to show Azimio La Umoja convention mispelt
1598,"Nooooooowwwwwww the FDA Warns of Vaccine Induced Positive Syphilis Test.
 
 I can't even deal with this shit anymore. 
 
  Look what they are doing to people.",Fact Check: Can Covid-19 vaccines give you syphilis?
1599,"I have a buddy in France, and they just had an election there. Polls closed a few hours ago and they already know who the winners are. Must be nice to live in a first world country.",Why France reports election results faster than the US
1600,ethylene oxide may be harmful to the unborn child,"A Public Health England document shows that ethylene oxide, the sterilising solution used on PCR tests, may be harmful to the unborn child."
1601,"In support of PFI, Congress today stopped its padyatra. This is the real face of Congress","In support of PFI, Congress today stopped its Bharat Jodo Yatra"
1602,NHCS Board of Education Regular Board Meeting,COVID Vaccine make you a ‘ticking time bomb’
1603,"QAnon is abuzz with the Suez Canal story.
 
 Given the Ever Given ship's call sign is H3RC, and Hillary Clinton's initials are HRC, and the ship is operated by Evergreen Marine, and Hillary's secret service code is Evergreen, the ship is tarfficking kids on behalf of the Clintons.",The claim: A ship that is stuck and blocking traffic in the Suez Canal is a human trafficking vessel connected to former Secretary of State Hillary Clinton
1604,"Good news, contrary to what's trending on Twitter... THE VEINS REMAIN!",Says a Fox New chyron said the Snickers candy bar is changing its texture because of “cancel culture.”
1605,"Man do I love having this Twitter account, the ability to connect to so many millions of people, to express my feelings and views, to know that all major media outlets and world leaders are reading these words, that they are recorded for posterity. How awesome is that?",The claim: Former President Barack Obama jokingly tweeted about President Donald Trump's Twitter ban
1606,"These records go back to early 1920; in my younger day, I worked in a lot of these places, especially at Marble Bar, WA, For Gascoyne Trading, as well as Longreach QLD. So, to be honest, your so-called CLIMATE CHANGE in Australia started well over 100 years ago, if not further back and has actually cooled down a bit since then. BTW these are factual records from the Bureau of Meteorology",Temperatures in Australia have cooled over the last 100 years.
1607,"Thank you to all of the Patriots & supporters across Michigan! Although I may be conceding to Dana Nessel today, I refuse to concede that Michigan is a blue state. I will continue to fight like hell to restore Michigan to all it can be. Thank you to each and every one of you!","The Michigan attorney general’s race was “stolen in the middle of the night from Matt DePerno.”
"
1608,Breaking: Pakistani flag hoisted on Republic Day in Purnea. Republic Day 2023PurneaNews #BiharNews #republicday2023,Pakistan's flag hoisted in Bihar's Purnia
1609,There is no evidence [from the data] to suggest a link with the COVID-19 vaccines,"Between weeks 23 and 37 in 2021 there have been 252 deaths among 15 to 19-year-olds in England and Wales. This compares to 162 in the same period in 2020, an increase of 90 (or 56%)."
1610,"The residents were likely surprised to realize that COVID-19 injections were not only NOT proven to prevent infection or disease, but were known to cause COVID-19 by both Pfizer and the FDA per the FDA submitted, September 17, 2021 document. Many Collier County residents afterwards were thankful for the data presented while others were openly concerned.
 https://karenkingston.substack.com/p/collier-county-commissioners-unanimously/comments",The claim: The Pfizer/BioNTech COVID-19 vaccine causes COVID-19 
1611,Syria and Nicaragua are the only nations that didn't sign the Paris Agreement. Nicaragua said it wasn't tough enough. What's Trump's excuse?,"""Syria and Nicaragua are the only nations that didn't sign the Paris Agreement. Nicaragua said it wasn't tough enough."""
1612,"Follow for beauty and health tips --@health_and_beauty_.tips
 .
 .
 .
 .
 .
 .
 .
 .
 .
 .
 #fitness #gym #workout #fitnessmotivation #bodybuilder #fit #bodybuilding #love #training #health #lifestyle #instagood #fitfam #healthylifestyle #goodhealth#instagram #healthy #like #follow #gymlife #life #glowingskincare #skincare #personaltrainer #happy #goals #fashion #exercise #muscle #bhfyp",Can bitter gourd (karela) juice improve eyesight
1613,The expected benefits of the vaccines in preventing COVID-19 and serious complications associated with COVID-19 far outweigh any currently known side effects in the majority of patients,UKHSA data shows that people who receive a booster dose of the Covid-19 vaccine are more likely to be infected with the disease.
1614,Don't care about bankers.,Pressing ‘cancel’ twice on an ATM will prevent your PIN from being stolen
1615,"That's not true. The most recent data showed that 56.1% of households in South Belfast were owner-occupied, over 10 percentage points lower than the NI average (66.9%).",Over 95% of people living in south Belfast own their own home.
1616,Note that citizenship is irrelevant. Plenty of foreign citizens live in the UK and pay tax here as normal.,"India does not allow its citizens to hold the citizenship of another country simultaneously. So, according to British law, Ms Murty is treated as non-domiciled for UK tax purposes."
1617,"30 mins long but well worth a watch and just what we need , great work from this fella reporting a criminal offence committed by someone in public office",The spike protein in some Covid-19 vaccines is toxic to humans.
1618,"A friend informed me today that her neighbor, a dairy farmer, is now forced to vaccinate her herd with an mRNA vaccine!","Cattle in Australia are required to get an mRNA vaccine, some have died"
1619,We plan to cut all homeless people in half by 2025,We plan to cut all homeless people in half by 2025
1620,"PARLIAMENTARY COMMITTEE ON REMOVAL OF HUMAN RIGHTS & COMPULSORY OF COVID19 VACCINE WAKE UP THEY ARE TRYING REMOVE THE HUMAN RIGHTS ACT AND MAKE THE COVID-19 VACCINE ""COMPULSORY "" PEOPLE.... THIS IS A MAJORLY RUSHED THROUGH, UNLICENSED VACCINES FOR A VIRUS WITH A 99.999996% SURVIVAL RATE!! LINK & SCREENSHOT BELOW https://committees.parliament.uk/writtenevidence/9253/pdf/
SECTION 10, 25 (A) (B) & 30
Ella May Moores
#wakeup #StayAwake #openyoureyes #openyourmind #openyourheart #questioneverything",A UK government document is circulating promoting mandatory Covid-19 vaccination.
1621,"It's President Biden who is proposing to cut Medicare Advantage, a program used by almost 4 in 10 Arkansas seniors. 
 
 This would be a mistake.","""It's President Biden who is proposing to cut Medicare Advantage."""
1622,"Registration is going on for Pradhan Mantri Ramban Suraksha Yojana*, under this scheme all the youth will get the help of Rs.4000. Register now from the link given below","प्रधानमंत्री रामबाण सुरक्षा योजना* के लिए रजिस्ट्रेशन हो रहा है, इस योजना के अंतर्गत सभी युवाओं को 4000 रूपये की मदद राशि मिलेगी।नीचे दी गयी लिंक से अभी रजिस्ट्रेशन करें"
1623,WHO CHANGED THE LONG STANDING WHISTLEBLOWER RULES JUST BEFORE SUBMITTAL OF THE FAKE WHISTLEBLOWER REPORT? DRAIN THE SWAMP!,"""Longstanding whistleblower rules (were changed) just before submittal of the fake whistleblower report.""  "
1624,"A real pandemic would be self-evident. There would be bodies piling up on the street. Many of your closest friends and loved ones would be dead. The government wouldn't need to bombard you with propaganda everyday. Boris Johnson would probably be hiding in a bomb shelter somewhere, not giving speeches and waving his little fists around in a threatening manner on national television.
You've been lied to since day one. The flu killed 64,000 people in this country in 2018, and you didn't bat an eye. No mask. No social distancing. No fear.
The only reason you're scared of COVID-19 is because the television told you to be scared.","The flu killed 64,000 people in 2018."
1625,"Rep. Adam Schiff illegally made up a FAKE & terrible statement, pretended it to be mine as the most important part of my call to the Ukrainian President, and read it aloud to Congress and the American people. It bore NO relationship to what I said on the call. Arrest for Treason?",Adam Schiff's retelling of Donald Trump's Ukraine phone call isn't treason
1626,The sanction nobody is talking about. Russian users who attempted to visit pornhub were quite literally cockblocked by a message that told them that the content has been stopped along with a Ukranian flag and message of Ukranian support #Ukraine #UkraineRussia #Ukrainelnvasion,Pornhub was blocked for users in Russia following the invasion of Ukraine.
1627,"Pink elephants can be found in some regions of India. Because of the red soil, elephants take on a permanent pink color because they spray dust over their bodies to protect themselves from insects","Pink elephants can be found in some regions of India. Because of the red soil, elephants take on a permanent pink color because they spray dust over their bodies to protect themselves from insects"
1628,"Am I the only one that wonders how 14,000 Haitians traveled 2,000 miles to end up under a bridge in Del Rio, Texas? I doubt that they walked.",Haitian migrants took an implausible route to Texas-Mexico border area.
1629,"BRUTAL TRUTH
Donald Trump strikes again very hard, he talks to Africans:
"" I don't need to harass you like the French Presidents say that France-Africa is over, yet they keep sending you the fake tourists who spy on you and come back and tell them how you should be recolonised.""
""If after 50 years of independence you have not built the necessary infrastructure for your people are you humans?
""If you sit on gold, diamond, oil, manganese, uranium... and your people don't have food, are you humans?
""If to stay in power, you don't hesitate to buy weapons from strangers to kill your own citizens, are you humans?
""If your only social project is to stay in power for life, are you humans?
""If you despise and shoot your own citizens like game, who will respect them?""",A claim that Donald Trump called Africans Animals.
1630,One reason why sending news reporters into bad storms can be a terrible idea. WAIT FOR IT!,A news reporter gets hit by a sign while reporting during a storm.
1631,"People in Somerset denied NHS dental care, patient watchdog says",Somerset has no NHS dental care.
1632,"Avoid Surgery! Very Simple Natural Remedy That Reduces Cataract, Improves The Vision And Helps Clear The Eyes!",Cataracts can be cured naturally
1633,"1/ I've been asked a lot recently why I have been tweeting less about politics and more about food on this here bird app.
 
 Here's the scoop.
 
 On 1/13/21, my husband was diagnosed with AML. He suffered a heart attack during the first day of his admission.",Trump did not scrub tweets that likened U.S.-bound migrants to invaders in wake of El Paso shooting
1634,"100 active fossil fuel producers including ExxonMobil, Shell, BHP Billiton and Gazprom are linked to 71% of industrial greenhouse gas emissions since 1988",100 companies are responsible for 71% of global emissions.
1635,It just so happens that every single country where monkeypox is allegedly circulating is also a country that has distributed the Pfizer Covid-19 injection to its population; excluding some countries in Africa where the disease has been endemic for the past 50 or so years,Monkeypox is only circulating in countries where the Pfizer Covid-19 vaccine has been distributed.
1636,Milwaukee is on pace for a third straight homicide record. The rate has nearly doubled in the past two years. The men and women of law enforcement need our support to protect our communities from violent crime.,"In Milwaukee, ""The (homicide) rate has nearly doubled in the past two years."" "
1637,"""Soon the recruitment in CISF will also be completely stopped..... In their place Adani's company Adani Airport Holdings Limited (AAHL) will recruit its own personal security guards because most of the airports in the country have been given to Adani for 50 years"" went
say namo namo""",Airports allowed to deploy private security guards. Adani group will now recruit personal security guards at all their airports
1638,"UPDATE on Presidential Directive on the Evacuation of Trucks and Trailers off Lagos Bridges, Roads, Inner Streets and Free Access to Lagos Ports #ApapaOrder #Thread",Claims on the Federal Government Truck Evacuation In Apapa
1639,"@deepolice12
 
 latest!
 
 WORD HEALTH ORGANIZATION ARE GIVING $210,000 TO PEOPLE THAT HAS C0VlD19. INTRESTED SEND UR NAME,AGE,PHONE NO,ADD,TO: angelaperkins091@gmail.com/+447721143955","World Health Organization (WHO) is giving $ 210,000 to people who have COVID-19. Send personal details to angelaperkins091@gmail.com/+447721143955"
1640,"Just a heads up. All cameras in UK on M1 and M25 go live at midnight tonight, set at 72mph. Auto ticket generating system. Watch your speed and tell everyone else to","New cameras are being set live on the M25 and M1, with an automatic fine for anyone caught driving over 72mph."
1641,"In 2021, we hit our target of 4,000 people accepting GP training places","There are almost 2,000 more doctors in general practice than in 2019."
1642,"You science IS politics. All the RCTs show no or essentially no effect for (cloth or surgical) masks, and an understanding of aerosols shows why. The vaccines are poor, and unnecessary for most people as they have low risks and/or natural immunity. Ventilation works.",masks are ineffective and vaccines unnecessary for most of the people
1643,What on earth is going on here,A sign at a vaccine clinic urges parents to donate their children’s organs.
1644,"Did You Know! -40 Every time you eat sugar, your teeth are in danger for the next 20 minutes, so try brushing your teeth after eating sweets. Your cavities will gradually go a way.","According to a Facebook post, brushing your teeth after eating sweets could reverse tooth decay over time. We cross-checked the assertion. Our findings indicate that the claim is False."
1645,A coin of US 1 dollar with a sword that unlocks the secret vault from 1921.,A coin of US 1 dollar with a sword that unlocks the secret vault from 1921.
1646,flu and pneumonia caused nearly 1 in 10 of all deaths at the start of the year,Flu is behind one in 10 deaths.
1647,Testing kits in the UK supplied by China are contaminated with coronavirus!,Testing kits in the United Kingdom supplied by China are contaminated with COVID-19
1648,Family Card Rs. 1000 is not possible to provide Tamil Nadu government notification,The Government of Tamil Nadu announces that it is not possible to give Rs.1000 for a family card!
1649,"BJP won
7 seats with difference of 200 votes.
23 seats with difference of 500 votes
49 seats with difference of 1000 votes
86 seats with difference of 2000 votes.
In all the above, Owaisi has generously helped the BJP.
He deserves Bharat Ratna award!
Bijnor:
BJP - 97165
SP+RLD - 95720
AIMIM - 2290
Nakur:
BJP - 1,03,771
SP - 1,03,616
AIMIM - 3591
Kursi:
BJP - 1,18,614
SP - 1,18,094
AIMIM - 8533
SULTANPUR:
BJP - 92245
SP - 90857
AIMIM - 5240
Aurai:
BJP - 93438
SP - 91427
AIMIM - 2188
Shahganj:
BJP - 76035
SP- 70370
AIMIM- 7070
FIROZABQD:
BJP - 84225
SP - 70957
AIMIM - 16290",BJP won 86 seats with a margin of less than 2000 votes in the recent 2022 UP assembly elections
1650,"Rahul Gandhi is not only insulting Indian Army but damaging nation's image. He is not only a problem for the Congress Party but he has also become a huge embarrassment the country.
 We are proud of our Armed Forces.","Yangtse area in Tawang, Arunachal Pradesh is fully secured now due to adequate deployment of the brave jawans of Indian Army."
1651,"Fauci admits Covid vaccines are spreading disease,",Dr. Fauci said that vaccines are spreading disease
1652,"Polio wasnt some single strain virus eradicated by a miracle vaxx
 It was pesticides like Lead Arsenate and its more lethal replacement DDT that lead to lower spine lesions through the gut

 This is why we want organic foood and products so we can stop this vicious cycle that repeats itself with other diseases
 ","The claim: Polio is caused by pesticide exposure, not a virus"
1653,Is Fake News Washington Post being used as a lobbyist weapon against Congress to keep Politicians from looking into Amazon no-tax monopoly?,"Amazon has a ""no-tax monopoly."""
1654,"If the oxygen level is going down and there is no oxygen supply from anywhere, put 4-5 fresh leaves of peepal in a glass jar and close the lid for five to seven minutes. Open the lid and keep smelling it through the nose and mouth. Oxygen level will increase by 4-5 points immediately. You can do this method again and again. Placing a camphor tablet inside the jar has yielded even better results. Please use it yourself and tell others as well. Free and virtuous work","If the oxygen level is going down and there is no oxygen supply from anywhere, put 4-5 fresh leaves of peepal in a glass jar and close the lid for five to seven minutes. Open the lid and keep smelling it through the nose and mouth. Oxygen level will increase by 4-5 points immediately. You can do this method again and again. Placing a camphor tablet inside the jar has yielded even better results. Please use it yourself and tell others as well. Free and virtuous work"
1655,"President Trump won and the world is starting to see!
Fight on Patriots -
to #Victory!",The claim: President Donald Trump won the 2020 election
1656,it has emerged that scientists knew about the deadly virus long ago,Scientists knew about the new coronavirus long ago and called it “Disease X”.
1657,Pepto Bismol treats Covid and other viruses. They don't talk about this in the news because big pharma controls the news and big Pharma doesn't make money from repurposing off patent drugs or natural remedies.,Pepto-Bismol medicine can treat Covid infection
1658,"In future it shall be lawful for any man to leave and return to our kingdom unharmed and without fear, by land or water, preserving his allegiance to us, except in time of war, for some short period, for the common benefit of the realm. People that have been imprisoned or outlawed in accordance with the law of the land, people from a country that is at war with us, and merchants - who shall be dealt with as stated above - are excepted from this provision",Article 42 of the Magna Carta 'enshrines' the right to free movement at home and across borders in peacetime.
1659,Saudi Arabia bans loudspeakers on mosques!!,Ban imposed on loudspeakers in Saudi Arabia
1660,BJP leader Sudhanshu Mittal was worshipping Hindu Sadhvi to avoid Coronavirus,It is being claimed that the picture has BJP leader Sudhanshu Mittal.
1661,"Reminder the Supreme Court says Jewish symbols are permitted on government property, but not Christian ones",The claim: Supreme Court says Jewish symbols allowed on government property but not Christian symbols 
1662,The economy picked up a little in the second quarter with both retail sales and construction helped by the good weather and rebounding from the effects of the snow earlier in the year,UK GDP growth in the second quarter of 2018 was 0.4%. In the Eurozone it was 0.3%.
1663,"I wonder why they would need a defibrillator in every school up and down the country now? One, this is being normalised and Two, this is just more proof to an ever growing list as to why these jabs are NOT safe",Installing defibrillators in all schools is proof that Covid-19 vaccines are not safe.
1664,"90% vaccine
vs
99.994% recovery rate ?",The recovery rate from Covid-19 is 99.9% to 99.994%.
1665,"Ti....giving TT tickets to Biharis who are running away from Tamil Nadu in this way
@RailMinIndia
Is this behavior correct by TT and he is not even wearing his uniform","Some are giving TT tickets to Biharis who are running away from Tamil Nadu.

@RailMinIndia

Is this behavior correct by TT and he is not even wearing his uniform"
1666,First picture of Ayodhya Prabhu Sri Ram Ji,First picture of Ayodhya Prabhu Sri Ram Ji’s temple
1667,The Law of this country is only for poor people ..! @rashtrapatibhvn @VPSecretariat @PMOIndia @narendramodi_in @PTI_News,The Law of this country is only for poor people.
1668,One of the biggest mistakes that people make with epidemiological surveys is multiple hypothesis testing. The more hypothesis tests you do the more likely you are to flag up associations that have only arisen by chance.,People over six foot tall are twice as likely to get coronavirus.
1669,Birds of a feather,Obama's Medal of Freedom recipients appear on Epstein's flight logs
1670,HELP!!! #Hartlepool My son Brayden JOHNSON took off this morning with our dog hank. He autistic [sic] and has been missing for eight hours if anyone sees him please PM me please re-post on any sites. I already contacted police,An autistic boy named Brayden has gone missing with his dog and the police have been contacted.
1671,It means that as many as 18 million of the 230 million people who received at least one shot may have been hospitalized with an adverse reaction,18 million Americans have been left seriously injured by Covid-19 vaccinations.
1672,"Looooook, it's the lion king .......",About 500 lions have been released on the streets of Russia to stop people going out during the coronavirus pandemic.
1673,Instant teeth whitening and prevent future stains without harming sensitive teeth.,using a teeth-whitening brush at home is a safe option
1674,Delete,Islamic flag with prophet’s name appeared in the sky somewhere in Kashmir
1675,"Friends, chacha Nehru working for women","Friends, chacha Nehru working for women's empowerment, yet you doubt this passer-by family … How will the slaves run away"
1676,"Ken Clarke, 9 years as Secretary of State, including as Chancellor, says he won't vote for the Conservatives.

Silence.

Balanced election coverage?","Ian Austin, former Labour MP has said he won’t vote for Labour."
1677,"""OMG. In just 4 weeks, it helped me get in shape! Only the first day's results impressed me greatly. My body no longer contains any harmful waste, and I feel physically better than ever.
https://shapeyourlife.top/products/beautification","A social media post claims that wearing clip-on earrings reduces weight in just four weeks. We fact-checked and found the claim is False. Weight loss is induced by increasing the body’s metabolic rate through a healthy diet, exercise and regular health checkups."
1678,"7 years of Tory rule has crushed the NHS and is causing deaths & illnesses throughout the country. We must stand up for the NHS and vote out the Tories at the next general election. Once its gone, its gone",103 NHS walk-in centres have closed or been downgraded since 2010.
1679,"600,000 Americans die each year from Cancer. That's 3x the Covid death rate. I don't see them mandating healthy living, banning cigarettes or removing the toxins from our beauty products & food.. but carry on.",Number of cancer deaths is three times COVID-19 death rate
1680,"In Saidabad, Prayagraj (UP), the flag of Pakistan was put on the mosque, the whole mosque was demolished... If Yogi is there then it is possible","Saidabad, Prayagraj (UP) hoisted the flag of Pakistan on the mosque, demolished the entire mosque…

If Yogi is there then it is possible "
1681,Neither Immensa Health Clinic Ltd nor its related company Dante Labs Ltd has been accredited by UKAS,"The Immensa lab, which may have given more than 43,000 inaccurate PCR test results, was fully accredited before being appointed by the government."
1682,"Almost 400,000 more children and 300,000 more pensioners are now living in poverty than in 2012/13","400,000 more children are in absolute poverty under the Conservatives."
1683,Youth Icon?Like seriously?,Youth icon? Like seriously?
1684,Proud of our terrorists ( Khalsa Aid ) #farmersrprotest #FarmersCallPMforDebate,Image showing Khalsa aid’s relief work in Uttarakhand.
1685,The incidence rate in children aged 0 to 15 years was 1.95/100 000 person-years,"There are currently about 25,000 cases of myocarditis per million children."
1686,If you or anyone you know has autism need to look into suramin .. I did a little research on my own to discover it is indeed a cure! Spread the word,Suramin medicine can cure autism completely
1687,"A naturalization applicant must only demonstrate an ability to read, write, speak, and understand words in ordinary usage.",“Federal law requires people to speak English to be naturalized as American citizens.”
1688,"Pfizer has been releasing their court ordered clinical trial data,",Document shows Pfizer-BioNTech said vaccine should not be given to women who are pregnant or breastfeeding
1689,Promotion in BJP office instead of Kapil Sharma show,Promotion in BJP office instead of Kapil Sharma show.
1690,"Embarrassing: Biden-Harris Held Arizona Rally, According to Media, No One Showed",Biden and Harris had a rally in Arizona and no one came
1691,"Why does every protest boils down to religion ? 
 Who are these people raising such horrifying slogans ?
 Hum Sikh baadmein hai , pehele Hindustani hai. 
 @HarsimratBadal_
  
 @officeofssbadal
 @capt_amarinder
  
 #FarmerProtestHijacked 
 #indianfirst",Protesters holding Pro-Khalistan and anti-India placards in farmer’s protest.
1692,"And, with all your wishes we are growing sharply. The proof is, 
 @chanakyaa
  YouTube channel is been HACKED. We have reported to YouTube. All other platforms like http://chanakyaa.in , Facebook & twitter are going steady. By God's grace We will continue to do our services.","And, with all your wishes we are growing sharply. The proof is, Chanakyaa youtube channel is been HACKED. We have reported to YouTube. All other platforms like chanakyaa.in, Facebook & Twitter are going steady. By God’s grace, we will continue to do our services – Rangaraj Pandey."
1693,Interesting science facts.....follw for more @neeha_khan1420,Bananas are radioactive
1694,#monkeypox #fakevirus #fearmongering #politicizing #falseflag #wakeup #truther,Monkeypox is a side effect of the Covid-19 vaccines.
1695,My statement on Democrats asking companies to violate federal law:,"Telecom and social media platforms risk breaking the law, and could see their US business suffer, if they comply with records requests from the Jan. 6 investigation committee."
1696,"Take Down BBC - Shame on you , Protests are already started in UK against Its propaganda against India/Modi Ji , where are you Indians ??? searching documentary on internet","Take Down BBC - Shame on you , Protests are already started in UK against Its propaganda against India/Modi Ji  , where are you Indians  ???  🤬🤬 searching documentary on internet 🤔🤔🤔"
1697,"Iran is talking very boldly about targeting certain USA assets as revenge for our ridding the world of their terrorist leader who had just killed an American, & badly wounded many others, not to mention all of the people he had killed over his lifetime, including recently....","If Donald Trump orders the bombing of Iranian cultural sites, would it be a war crime?"
1698,A study published in late 2022 found 12.7% of childhood asthma cases are linked to homes with a gas stove.,A study has found occupants of homes with gas stoves have a 47.3 per cent increased risk of cardiovascular events.
1699,AAP corruption must go on!!,AAP का भ्रष्टाचार चलते रहना चाहिए !
1700,"BABIES CANT HAVE WATER BEFORE 6 MONTHS
BABIES CANT HAVE WATER BEFORE 6 MONTHS
BABIES CANT HAVE WATER BEFORE 6 MONTHS
BABIES CANT HAVE WATER BEFORE 6 MONTHS
BABIES CANT HAVE WATER BEFORE 6 MONTHS
BABIES CANT HAVE WATER BEFORE 6 MONTHS
please educate yourself before you harm your baby. water dilutes the sodium levels in babies and can cause seizures, coma, brain damage or death",Babies can’t have water before they’re 6 months old
1701,"""Yaas Cyclone in coming in a very difficult situation today and it is going to hit West Bengal in a while .it is very sad, I hope everyone will be careful "" #CycloneYaas",Visuals of the severity of Cyclone Yaas in the states of Odisha and West Bengal
1702,Poland has a strict no-migrants policy. Draw your own conclusions,Poland has had no terror attacks.
1703,Good news FINAL NOTICE. Dont ignore please read it carefully,1) Varun Pulani is the director of WhatsApp. 2) Whatsapp has been sold to Mukesh Ambani.
1704,situation at old city for today,Situation in the old city (Hyderabad) today despite the lockdown
1705,B.J.P. What will Modi ji say on this act of MLA Anil Upadhyay,"BJP MLA Anil Upadhyay related to caste violence in Gorakhpur, Uttra Pradesh"
1706,"Power shut down before cyclone effect hits its maximum ...
Stay safe everyone
Image may contain: text","A notice purportedly from Fiji’s national power provider, EFL, claims it will “shut down the electricity supply to the whole nation without warning a few hours before the cyclone’s effect is at the maximum”."
1707,"PANOORIN | Sen. Gordon at 6 na presidential appointees, dapat nang tanggalin sa Phil. Nat'l Red Cross ayon kay Atty. Larry Gadon
Bakit kaya?",The Philippine Red Cross can be audited by the government.
1708,A newborn baby has been found in Barnsley this morning by the police. Let us spread the word and help identifying who this newborn baby belongs to,"Police have rescued a newborn baby that was abandoned in Barnsley, South Yorkshire."
1709,ok so is anyone else super paranoid about the fact that colon cancer is becoming more present in adults in their 20s and 30s,microwave-cooked food can cause colon cancer
1710,"It is important to note that concerns about toxicity of thiomersal are theoretical and that there is no compelling scientific evidence of a safety problem relating to its use in vaccines, although public perception of risk has been reported in some countries",New Covid-19 vaccines contain levels of mercury that cause brain damage.
1711,"In the early morning of September 19, a series of #explosions occurred near #Beijing Shunyi International Airport. After the explosion, many helicopters appeared in the sky.
 #XiJinping #chinacoup","In the early morning of September 19, a series of #explosions occurred near #Beijing Shunyi International Airport. After the explosion, many helicopters appeared in the sky. #XiJinping #chinacoup"
1712,"@RahulGandhi
  Thankless person and family.
 
 When Rahul Gandhi was arrested back in Boston for drugs. He was released after intervention by PM Vajpeyee. Soniya begged and large hearted Vajpeyee spoke to US authorities. One can check newspaper clipping of Boston(USA)","RahulGandhi Thankless person and family.

When Rahul Gandhi was arrested  back in Boston for drugs. He was released after intervention by PM Vajpeyee. Soniya begged and large hearted Vajpeyee spoke to US authorities.  One can check newspaper clipping of Boston(USA)"
